datetime,arduino_millis,voltage
2026-06-23T13:14:53.420533,75515,193
2026-06-23T13:14:53.420599,75516,193
2026-06-23T13:14:53.420645,75517,193
2026-06-23T13:14:53.420691,75518,193
2026-06-23T13:14:53.420736,75518,193
2026-06-23T13:14:53.420782,75519,193
2026-06-23T13:14:53.420828,75520,193
2026-06-23T13:14:53.420874,75521,193
2026-06-23T13:14:53.420919,75522,193
2026-06-23T13:14:53.420964,75523,194
2026-06-23T13:14:53.421009,75524,194
2026-06-23T13:14:53.430895,75525,194
2026-06-23T13:14:53.430962,75526,194
2026-06-23T13:14:53.431009,75527,194
2026-06-23T13:14:53.431055,75528,194
2026-06-23T13:14:53.431101,75529,193
2026-06-23T13:14:53.431146,75530,193
2026-06-23T13:14:53.431192,75531,193
2026-06-23T13:14:53.431237,75532,193
2026-06-23T13:14:53.431282,75533,193
2026-06-23T13:14:53.431327,75534,193
2026-06-23T13:14:53.431373,75535,193
2026-06-23T13:14:53.441385,75536,193
2026-06-23T13:14:53.441466,75537,193
2026-06-23T13:14:53.441513,75538,193
2026-06-23T13:14:53.441559,75539,193
2026-06-23T13:14:53.441605,75540,194
2026-06-23T13:14:53.441650,75540,194
2026-06-23T13:14:53.441695,75541,194
2026-06-23T13:14:53.441741,75542,194
2026-06-23T13:14:53.441786,75543,194
2026-06-23T13:14:53.441831,75544,194
2026-06-23T13:14:53.451780,75545,193
2026-06-23T13:14:53.451855,75546,194
2026-06-23T13:14:53.451923,75547,193
2026-06-23T13:14:53.451972,75548,193
2026-06-23T13:14:53.452021,75549,193
2026-06-23T13:14:53.452067,75550,193
2026-06-23T13:14:53.452113,75551,193
2026-06-23T13:14:53.452158,75552,193
2026-06-23T13:14:53.452203,75553,193
2026-06-23T13:14:53.452248,75554,193
2026-06-23T13:14:53.452293,75555,193
2026-06-23T13:14:53.462267,75556,194
2026-06-23T13:14:53.462360,75557,194
2026-06-23T13:14:53.462433,75558,194
2026-06-23T13:14:53.462497,75559,194
2026-06-23T13:14:53.462548,75560,194
2026-06-23T13:14:53.462597,75561,194
2026-06-23T13:14:53.462645,75561,194
2026-06-23T13:14:53.462691,75562,193
2026-06-23T13:14:53.462738,75563,193
2026-06-23T13:14:53.462784,75564,193
2026-06-23T13:14:53.462830,75565,193
2026-06-23T13:14:53.472668,75566,193
2026-06-23T13:14:53.472756,75567,193
2026-06-23T13:14:53.472803,75568,193
2026-06-23T13:14:53.472850,75569,193
2026-06-23T13:14:53.472895,75570,193
2026-06-23T13:14:53.472941,75571,193
2026-06-23T13:14:53.472986,75572,194
2026-06-23T13:14:53.473032,75573,194
